,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed
0,4.0,3.0,0.0,0.0,1.0,7.0,7.000,False,False
1,4.0,1.0,4.0,0.0,0.0,7.0,0.250,True,False
2,4.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
3,4.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
4,4.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
5,4.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
6,4.0,1.0,3.0,0.0,1.0,7.0,0.333,False,True
7,4.0,1.0,4.0,1.0,0.0,7.0,0.250,False,True
8,4.0,2.0,5.0,0.0,1.0,7.0,0.400,True,True
9,4.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
10,4.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
11,4.0,1.0,3.0,0.0,1.0,7.0,0.333,False,False
12,4.0,1.0,6.0,0.0,0.0,7.0,0.167,False,True
13,4.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
14,4.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
15,4.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
16,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
17,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
18,4.0,4.0,1.0,0.0,0.0,7.0,4.000,True,True
19,4.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
20,4.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
21,4.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
22,4.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
23,4.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
24,4.0,2.0,3.0,1.0,0.0,7.0,0.667,True,True
25,4.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
26,4.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
27,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
28,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
29,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
30,4.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
31,4.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
32,4.0,5.0,1.0,0.0,0.0,7.0,5.000,True,True
33,4.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
34,4.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
35,4.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
36,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
37,4.0,3.0,2.0,0.0,0.0,7.0,1.500,True,True
38,4.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
39,4.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
40,4.0,3.0,3.0,1.0,1.0,7.0,1.000,False,True
41,4.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
42,4.0,4.0,1.0,0.0,0.0,7.0,4.000,True,True
43,4.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
44,4.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
45,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
46,4.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
47,4.0,4.0,3.0,0.0,0.0,7.0,1.333,False,True
48,4.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
49,4.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
50,4.0,2.0,3.0,1.0,1.0,7.0,0.667,True,True
51,4.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
52,4.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
53,4.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
54,4.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
55,4.0,3.0,1.0,1.0,1.0,7.0,3.000,True,True
56,4.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
57,4.0,3.0,1.0,0.0,1.0,7.0,3.000,False,True
58,4.0,4.0,3.0,0.0,0.0,7.0,1.333,False,True
59,4.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
60,4.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
61,4.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
62,4.0,6.0,0.0,0.0,1.0,7.0,7.000,True,True
63,4.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
64,4.0,3.0,4.0,0.0,1.0,7.0,0.750,True,False
65,4.0,2.0,1.0,1.0,0.0,7.0,2.000,True,True
66,4.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
67,4.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
68,4.0,5.0,0.0,0.0,1.0,7.0,7.000,False,True
69,4.0,3.0,3.0,0.0,0.0,7.0,1.000,False,False
70,4.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
71,4.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
72,4.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
73,4.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
74,4.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
75,4.0,1.0,4.0,1.0,0.0,7.0,0.250,False,True
76,4.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
77,4.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
78,4.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
79,4.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
