,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed
0,6.0,4.0,0.0,0.0,0.0,7.0,7.000,False,False
1,6.0,1.0,3.0,0.0,1.0,7.0,0.333,True,False
2,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
3,6.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
4,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
5,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,False
6,6.0,3.0,2.0,0.0,0.0,7.0,1.500,False,True
7,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
8,6.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
9,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
10,6.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
11,6.0,2.0,3.0,0.0,0.0,7.0,0.667,False,False
12,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
13,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
14,6.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
15,6.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
16,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
17,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
18,6.0,3.0,1.0,1.0,0.0,7.0,3.000,True,True
19,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
20,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
21,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
22,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
23,6.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
24,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
25,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
26,6.0,1.0,3.0,1.0,1.0,7.0,0.333,True,True
27,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
28,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
29,6.0,3.0,2.0,1.0,1.0,7.0,1.500,True,True
30,6.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
31,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
32,6.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
33,6.0,1.0,3.0,0.0,1.0,7.0,0.333,True,True
34,6.0,2.0,4.0,1.0,1.0,7.0,0.500,True,True
35,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
36,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
37,6.0,3.0,2.0,0.0,0.0,7.0,1.500,True,True
38,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
39,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
40,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
41,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
42,6.0,3.0,1.0,1.0,0.0,7.0,3.000,True,True
43,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
44,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
45,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
46,6.0,3.0,2.0,0.0,0.0,7.0,1.500,True,True
47,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
48,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
49,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
50,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
51,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
52,6.0,2.0,3.0,1.0,1.0,7.0,0.667,True,True
53,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
54,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
55,6.0,5.0,1.0,0.0,0.0,7.0,5.000,False,True
56,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
57,6.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
58,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
59,6.0,3.0,2.0,0.0,0.0,7.0,1.500,False,True
60,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
61,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
62,6.0,6.0,0.0,0.0,1.0,7.0,7.000,True,True
63,6.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
64,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,False
65,6.0,2.0,1.0,0.0,1.0,7.0,2.000,True,True
66,6.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
67,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
68,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
69,6.0,3.0,3.0,0.0,0.0,7.0,1.000,True,False
70,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
71,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
72,6.0,4.0,1.0,1.0,1.0,7.0,4.000,False,True
73,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
74,6.0,3.0,2.0,0.0,0.0,7.0,1.500,True,False
75,6.0,1.0,4.0,0.0,1.0,7.0,0.250,True,True
76,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
77,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
78,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
79,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
80,6.0,3.0,1.0,0.0,1.0,7.0,3.000,False,True
81,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
82,6.0,1.0,5.0,0.0,1.0,7.0,0.200,True,True
83,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
84,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
85,6.0,5.0,1.0,0.0,0.0,7.0,5.000,False,True
86,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
87,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
88,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
89,6.0,3.0,4.0,0.0,0.0,7.0,0.750,True,True
90,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
91,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
92,6.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
93,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
94,6.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
95,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
96,6.0,5.0,2.0,0.0,1.0,7.0,2.500,False,True
97,6.0,4.0,1.0,0.0,1.0,7.0,4.000,False,True
98,6.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
99,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
100,6.0,2.0,3.0,0.0,0.0,7.0,0.667,False,True
101,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
102,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
103,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
104,6.0,3.0,3.0,0.0,0.0,7.0,1.000,False,True
105,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
106,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
107,6.0,2.0,5.0,0.0,1.0,7.0,0.400,True,True
108,6.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
109,6.0,6.0,0.0,0.0,1.0,7.0,7.000,False,True
110,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
111,6.0,4.0,1.0,0.0,0.0,7.0,4.000,False,True
112,6.0,2.0,2.0,0.0,1.0,7.0,1.000,False,True
113,6.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
114,6.0,5.0,2.0,0.0,1.0,7.0,2.500,False,True
115,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
116,6.0,2.0,2.0,0.0,0.0,7.0,1.000,False,False
117,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
118,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
119,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
120,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
121,6.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
122,6.0,4.0,1.0,0.0,0.0,7.0,4.000,False,True
123,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
124,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
125,6.0,4.0,2.0,1.0,1.0,7.0,2.000,True,True
126,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
127,6.0,4.0,1.0,1.0,0.0,7.0,4.000,False,True
128,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
129,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
130,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
131,6.0,1.0,4.0,0.0,0.0,7.0,0.250,False,True
132,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
133,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
134,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
135,6.0,3.0,1.0,1.0,0.0,7.0,3.000,False,True
136,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
137,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
138,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
139,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
140,6.0,2.0,3.0,0.0,0.0,7.0,0.667,True,True
141,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
142,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
143,6.0,5.0,1.0,1.0,1.0,7.0,5.000,False,True
144,6.0,2.0,1.0,1.0,0.0,7.0,2.000,True,True
145,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
146,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
147,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
148,6.0,4.0,1.0,1.0,1.0,7.0,4.000,True,True
149,6.0,4.0,0.0,0.0,1.0,7.0,7.000,False,True
150,6.0,2.0,4.0,0.0,0.0,7.0,0.500,False,False
151,6.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
152,6.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
153,6.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
154,6.0,3.0,2.0,0.0,0.0,7.0,1.500,True,False
155,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
156,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
157,6.0,4.0,1.0,1.0,1.0,7.0,4.000,True,True
158,6.0,4.0,1.0,1.0,0.0,7.0,4.000,False,True
159,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
160,6.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
161,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
162,6.0,2.0,2.0,1.0,0.0,7.0,1.000,False,True
163,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
164,6.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
165,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
166,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
167,6.0,2.0,5.0,0.0,1.0,7.0,0.400,True,True
168,6.0,7.0,0.0,0.0,1.0,7.0,7.000,True,True
169,6.0,4.0,0.0,0.0,0.0,7.0,7.000,True,True
170,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,False
171,6.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
172,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
173,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
174,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
175,6.0,4.0,1.0,1.0,0.0,7.0,4.000,False,True
176,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
177,6.0,2.0,1.0,0.0,1.0,7.0,2.000,False,True
178,6.0,2.0,4.0,1.0,1.0,7.0,0.500,False,True
179,6.0,2.0,3.0,1.0,1.0,7.0,0.667,False,True
180,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
181,6.0,5.0,1.0,0.0,0.0,7.0,5.000,False,True
182,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
183,6.0,1.0,4.0,0.0,1.0,7.0,0.250,True,True
184,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
185,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
186,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
187,6.0,4.0,1.0,0.0,0.0,7.0,4.000,False,True
188,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
189,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
190,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
191,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
192,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
193,6.0,2.0,4.0,0.0,0.0,7.0,0.500,False,True
194,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
195,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
196,6.0,5.0,0.0,0.0,1.0,7.0,7.000,False,True
197,6.0,5.0,2.0,0.0,0.0,7.0,2.500,True,True
198,6.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
199,6.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
200,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
201,6.0,4.0,1.0,0.0,0.0,7.0,4.000,True,True
202,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
203,6.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
204,6.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
205,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
206,6.0,6.0,1.0,0.0,1.0,7.0,6.000,False,True
207,6.0,3.0,1.0,0.0,0.0,7.0,3.000,True,True
208,6.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
209,6.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
210,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
211,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
212,6.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
213,6.0,1.0,3.0,0.0,1.0,7.0,0.333,False,True
214,6.0,0.0,5.0,1.0,1.0,7.0,0.000,False,True
215,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
216,6.0,4.0,1.0,0.0,0.0,7.0,4.000,True,True
217,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
218,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
219,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
220,6.0,1.0,4.0,1.0,1.0,7.0,0.250,False,True
221,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
222,6.0,5.0,1.0,0.0,0.0,7.0,5.000,True,True
223,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
224,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
225,6.0,2.0,1.0,1.0,1.0,7.0,2.000,False,True
226,6.0,0.0,5.0,0.0,1.0,7.0,0.000,False,True
227,6.0,1.0,6.0,0.0,0.0,7.0,0.167,False,True
228,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
229,6.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
230,6.0,0.0,1.0,1.0,1.0,7.0,0.000,True,True
231,6.0,1.0,6.0,0.0,0.0,7.0,0.167,False,True
232,6.0,1.0,5.0,0.0,1.0,7.0,0.200,True,True
233,6.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
234,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
235,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
236,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
237,6.0,2.0,3.0,0.0,0.0,7.0,0.667,True,True
238,6.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
239,6.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
240,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
241,6.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
242,6.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
243,6.0,4.0,2.0,1.0,0.0,7.0,2.000,False,True
244,6.0,6.0,1.0,0.0,1.0,7.0,6.000,True,True
245,6.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
246,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
247,6.0,2.0,3.0,0.0,0.0,7.0,0.667,True,True
248,6.0,5.0,2.0,0.0,1.0,7.0,2.500,False,True
249,6.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
250,6.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
251,6.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
252,6.0,1.0,3.0,0.0,1.0,7.0,0.333,False,True
253,6.0,3.0,3.0,1.0,1.0,7.0,1.000,False,True
254,6.0,5.0,5.0,0.0,0.0,7.0,1.000,True,True
255,6.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
256,6.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
257,6.0,2.0,8.0,0.0,1.0,7.0,0.250,False,True
258,6.0,3.0,7.0,0.0,1.0,7.0,0.429,False,True
259,6.0,2.0,8.0,0.0,1.0,7.0,0.250,True,True
260,6.0,2.0,4.0,1.0,0.0,7.0,0.500,False,True
261,6.0,4.0,8.0,0.0,1.0,7.0,0.500,False,True
262,6.0,3.0,6.0,0.0,1.0,7.0,0.500,True,True
263,6.0,2.0,6.0,0.0,1.0,7.0,0.333,False,True
264,6.0,2.0,8.0,0.0,1.0,7.0,0.250,True,True
265,6.0,6.0,7.0,0.0,0.0,7.0,0.857,False,True
266,6.0,3.0,5.0,0.0,1.0,7.0,0.600,True,True
267,6.0,2.0,6.0,0.0,1.0,7.0,0.333,False,True
268,6.0,2.0,7.0,1.0,1.0,7.0,0.286,True,True
269,6.0,4.0,8.0,0.0,1.0,7.0,0.500,False,True
270,6.0,4.0,7.0,0.0,0.0,7.0,0.571,True,True
271,6.0,3.0,6.0,0.0,1.0,7.0,0.500,False,True
