loop;node1;node2;node3;node4;node5;node6;node7;node8;node9;average
1;0,7971014492753623;0,7733333333333333;0,7702702702702703;0,7532467532467533;0,7368421052631579;0,7105263157894737;0,7183098591549296;0,7571428571428571;0,7297297297297297;0,7496114081339853
2;0,8709677419354839;0,8646616541353384;0,8571428571428571;0,8321167883211679;0,8320610687022901;0,8203125;0,8306451612903226;0,8548387096774194;0,8346456692913385;0,8441546833884687
3;0,9044943820224719;0,9015544041450777;0,8900523560209425;0,8769230769230769;0,8756756756756757;0,8695652173913043;0,8806818181818182;0,8950276243093923;0,8797814207650273;0,8859728861594208
4;0,9148936170212766;0,9173228346456693;0,9083665338645418;0,8984375;0,9041666666666667;0,8958333333333334;0,9012875536480687;0,9121338912133892;0,9049586776859504;0,9063778453420994
5;0,9273356401384083;0,9272151898734177;0,9196141479099679;0,910828025477707;0,9169435215946844;0,9124579124579124;0,9172413793103448;0,9251700680272109;0,920265780730897;0,9196746295022833
6;0,9358600583090378;0,9386666666666666;0,9297297297297298;0,9222520107238605;0,925207756232687;0,9241573033707865;0,9281609195402298;0,9346590909090909;0,9281767955801105;0,929652259006911
7;0,9402985074626866;0,9406392694063926;0,9328703703703703;0,9287356321839081;0,9333333333333333;0,9325301204819277;0,9361179361179361;0,9371980676328503;0,9358669833729216;0,9352878022624806
8;0,9452954048140044;0,9457831325301205;0,9389002036659878;0,9333333333333333;0,9376299376299376;0,9388185654008439;0,9400428265524625;0,9427966101694916;0,9416666666666667;0,9404740756403164
9;0,9477756286266924;0,9498207885304659;0,941923774954628;0,9371633752244165;0,9444444444444444;0,9419475655430711;0,9448669201520913;0,9453860640301318;0,9446494464944649;0,9442197786667117
10;0,9511343804537522;0,9530744336569579;0,9459016393442623;0,943089430894309;0,945273631840796;0,9460370994940978;0,947098976109215;0,9491525423728814;0,9485049833887044;0,9476963463949973
11;0,9526813880126183;0,9544117647058824;0,9491778774289985;0,9453471196454948;0,9487179487179487;0,9479326186830015;0,9503875968992248;0,9507692307692308;0,9503012048192772;0,9499696388535196
12;0,9551374819102749;0,9567567567567568;0,9493150684931507;0,9472259810554804;0,9515905947441217;0,9521800281293952;0,9517730496453901;0,9533898305084746;0,951856946354883;0,9521361930664364
13;0,9573901464713716;0,9588014981273408;0,9530456852791879;0,949874686716792;0,9540229885057471;0,953307392996109;0,9529411764705882;0,9544863459037711;0,955470737913486;0,9543711842649327
14;0,9593596059113301;0,9605110336817654;0,9540094339622641;0,9522700814901047;0,9539007092198581;0,9565741857659831;0,9550970873786407;0,9565217391304348;0,9564705882352941;0,956079384975075
15;0,9610538373424972;0,9609967497291441;0,9558985667034179;0,9533116178067318;0,9569060773480663;0,9561797752808989;0,956964892412231;0,9582863585118376;0,9584699453551913;0,9575630911655573
16;0,9615795090715048;0,9623601220752798;0,9565667011375388;0,955193482688391;0,9576008273009308;0,9578503688092729;0,9585987261146497;0,9588607594936709;0,9591836734693877;0,958643796684514
17;0,9629258517034068;0,9644913627639156;0,9580896686159844;0,9568552253116012;0,9591041869522883;0,9602780536246276;0,9590818363273453;0,9593657086223984;0,9598470363288719;0,9600043255833821
18;0,963276836158192;0,9647058823529412;0,9594470046082949;0,9575045207956601;0,9595959595959596;0,9606373008434864;0,9604147031102733;0,9606741573033708;0,9603246167718665;0,9607312201711162
19;0,9635231316725978;0,9657240788346186;0,9606643356643356;0,9588688946015425;0,9616724738675958;0,9618117229129662;0,9616071428571429;0,9618794326241135;0,9615713065755764;0,9619247244011654
20;0,9653423499577346;0,9666123778501629;0,9609634551495017;0,9600977198697068;0,9612530915086562;0,9620573355817875;0,961864406779661;0,9629629629629629;0,9627831715210357;0,9626596523534678
21;0,9655448717948718;0,9666666666666667;0,9620553359683794;0,9604957397366383;0,9630503144654088;0,9638263665594855;0,9628732849071832;0,9632;0,9630484988452656;0,9634178976604333
22;0,9663865546218487;0,9681245366938473;0,9623210248681235;0,9615384615384616;0,9633233532934131;0,963984674329502;0,9637904468412943;0,9641221374045802;0,9647058823529412;0,9642552302160013
23;0,9671532846715328;0,9688605803255484;0,9632034632034632;0,9625176803394625;0,9642090193271295;0,9655172413793104;0,9646278555637435;0,964963503649635;0,964260686755431;0,965034812801695
24;0,9672245467224547;0,9689189189189189;0,9640635798203179;0,962762356127285;0,9650205761316872;0,9649614576033637;0,9647141848976711;0,9657342657342657;0,9650772330423103;0,9653863465553639
25;0,9685197588747488;0,9701686121919585;0,9648541114058355;0,9635890767230169;0,9652002626395273;0,9663299663299664;0,9647935003385241;0,9658176943699732;0,9664948453608248;0,966196425359375
