,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed evaluation,label (jammed or not)
0,3,1,5,0,1,6,0.200,True,False,0
1,3,3,2,1,1,6,1.500,True,False,0
2,3,4,0,0,1,6,6.000,False,False,0
3,3,3,2,0,1,6,1.500,False,True,0
4,3,1,3,0,1,6,0.333,False,True,0
5,3,2,3,0,0,6,0.667,False,False,0
6,3,2,4,0,1,6,0.500,False,True,0
7,3,3,3,0,1,6,1.000,False,False,0
8,3,3,0,0,1,6,6.000,False,False,0
9,3,1,3,0,1,6,0.333,False,True,0
10,3,2,3,0,0,6,0.667,False,False,0
11,3,3,3,0,1,6,1.000,False,False,0
12,3,2,2,0,1,6,1.000,False,True,0
13,3,3,2,0,1,6,1.500,False,False,0
14,3,3,3,0,1,6,1.000,True,True,0
15,3,2,2,1,1,6,1.000,False,True,0
16,3,3,1,1,0,6,3.000,False,False,0
17,3,3,1,0,1,6,3.000,False,True,0
18,3,2,3,0,1,6,0.667,False,True,0
19,3,2,3,0,1,6,0.667,False,True,0
20,3,2,3,0,1,6,0.667,False,True,0
21,3,3,2,0,1,6,1.500,False,False,0
22,3,3,2,0,0,6,1.500,False,True,0
23,3,3,3,0,1,6,1.000,True,True,0
24,3,2,2,0,1,6,1.000,False,True,0
25,3,3,2,0,1,6,1.500,False,False,0
26,3,3,2,0,1,6,1.500,False,True,0
27,3,4,2,0,1,6,2.000,True,False,0
28,3,3,1,0,1,6,3.000,False,False,0
29,3,2,3,0,1,6,0.667,False,True,0
30,3,4,1,0,0,6,4.000,False,False,0
31,3,2,2,0,1,6,1.000,False,True,0
32,3,3,3,0,1,6,1.000,True,True,0
33,3,3,1,0,1,6,3.000,False,False,0
34,3,4,2,0,1,6,2.000,False,True,0
35,3,4,1,0,0,6,4.000,False,False,0
36,3,3,2,0,1,6,1.500,False,True,0
37,3,2,2,0,1,6,1.000,False,True,0
38,3,3,3,0,1,6,1.000,False,True,0
39,3,4,1,0,1,6,4.000,False,False,0
40,3,4,0,0,0,6,6.000,False,False,0
41,3,2,3,0,1,6,0.667,False,True,0
42,3,0,4,0,1,6,0.000,False,True,0
43,3,4,2,0,1,6,2.000,False,False,0
44,3,3,0,0,1,6,6.000,False,False,0
45,3,4,2,0,0,6,2.000,False,True,0
46,3,1,3,0,1,6,0.333,False,True,0
47,3,3,2,0,1,6,1.500,False,False,0
48,3,2,3,0,1,6,0.667,False,True,0
49,3,2,3,0,0,6,0.667,False,True,0
50,3,3,3,0,1,6,1.000,False,False,0
51,3,4,2,0,1,6,2.000,False,False,0
52,3,5,0,0,1,6,6.000,False,False,0
53,3,3,0,0,1,6,6.000,False,True,0
54,3,2,4,0,1,6,0.500,True,True,0
55,3,2,2,0,1,6,1.000,False,False,0
56,3,4,2,0,0,6,2.000,False,False,0
57,3,2,2,0,1,6,1.000,False,True,0
58,3,1,3,0,1,6,0.333,False,True,0
59,3,2,4,0,1,6,0.500,True,False,0
60,3,4,1,1,1,6,4.000,False,False,0
61,3,3,0,0,1,6,6.000,False,False,0
62,3,3,3,0,1,6,1.000,False,True,0
63,3,2,1,1,0,6,2.000,False,False,0
64,3,1,4,0,1,6,0.250,False,True,0
65,3,4,2,0,1,6,2.000,False,False,0
66,3,4,0,0,1,6,6.000,False,False,0
67,3,4,1,0,0,6,4.000,False,True,0
68,3,2,3,0,1,6,0.667,False,True,0
69,3,2,2,0,1,6,1.000,False,False,0
70,3,4,2,0,1,6,2.000,False,False,0
71,3,4,0,0,1,6,6.000,False,False,0
72,3,2,2,0,1,6,1.000,False,True,0
73,3,2,3,0,0,6,0.667,False,True,0
74,3,3,3,0,1,6,1.000,True,False,0
75,3,1,3,0,1,6,0.333,False,True,0
76,3,2,2,1,1,6,1.000,False,False,0
77,3,2,3,0,1,6,0.667,False,True,0
78,3,4,1,0,0,6,4.000,False,False,0
79,3,4,2,0,1,6,2.000,True,True,0
80,3,2,2,0,1,6,1.000,False,True,0
81,3,4,1,0,1,6,4.000,False,False,0
82,3,4,2,0,1,6,2.000,True,True,0
83,3,3,1,0,1,6,3.000,False,False,0
84,3,3,2,0,0,6,1.500,False,True,0
85,3,3,2,0,1,6,1.500,False,True,0
86,3,2,2,0,1,6,1.000,False,True,0
87,3,2,3,0,1,6,0.667,False,True,0
88,3,3,2,0,1,6,1.500,False,False,0
89,3,4,2,0,1,6,2.000,False,False,0
90,3,4,1,0,1,6,4.000,False,False,0
91,3,5,0,0,0,6,6.000,False,False,0
92,3,3,2,0,1,6,1.500,False,True,0
93,3,3,1,0,1,6,3.000,False,False,0
94,3,3,2,0,1,6,1.500,False,True,0
95,3,4,2,0,1,6,2.000,True,False,0
96,3,3,1,1,0,6,3.000,False,False,0
97,3,3,2,0,1,6,1.500,False,True,0
98,3,1,2,0,1,6,0.500,False,True,0
99,3,2,3,0,1,6,0.667,False,False,0
100,3,3,3,0,1,6,1.000,True,False,0
101,3,4,1,1,0,6,4.000,False,False,0
102,3,4,0,0,1,6,6.000,False,False,0
103,3,3,2,0,1,6,1.500,False,True,0
104,3,0,2,1,1,6,0.000,False,True,0
105,3,1,5,0,1,6,0.200,True,False,0
106,3,4,2,0,1,6,2.000,False,False,0
107,3,6,0,0,0,6,6.000,False,False,0
108,3,4,0,0,1,6,6.000,False,True,0
109,3,1,2,0,1,6,0.500,False,True,0
110,3,2,2,1,1,6,1.000,False,False,0
111,3,2,4,0,1,6,0.500,True,True,0
112,3,5,1,0,1,6,5.000,False,False,0
113,3,4,0,0,0,6,6.000,False,False,0
114,3,1,3,0,1,6,0.333,False,True,0
115,3,2,3,0,1,6,0.667,False,False,0
116,3,3,1,1,1,6,3.000,False,False,0
117,3,4,1,0,1,6,4.000,False,False,0
118,3,4,1,0,0,6,4.000,False,True,0
119,3,4,1,0,1,6,4.000,False,True,0
