,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed
0,7.0,3.0,0.0,0.0,1.0,7.0,7.000,False,False
1,7.0,1.0,4.0,0.0,0.0,7.0,0.250,True,False
2,7.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
3,7.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
4,7.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
5,7.0,5.0,2.0,0.0,0.0,7.0,2.500,False,True
6,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
7,7.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
8,7.0,1.0,6.0,0.0,1.0,7.0,0.167,False,True
9,7.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
10,7.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
11,7.0,1.0,3.0,0.0,1.0,7.0,0.333,False,False
12,7.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
13,7.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
14,7.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
15,7.0,5.0,2.0,0.0,0.0,7.0,2.500,True,True
16,7.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
17,7.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
18,7.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
19,7.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
20,7.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
21,7.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
22,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
23,7.0,2.0,2.0,1.0,1.0,7.0,1.000,False,True
24,7.0,2.0,4.0,0.0,0.0,7.0,0.500,False,True
25,7.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
26,7.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
27,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
28,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
29,7.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
30,7.0,4.0,2.0,0.0,0.0,7.0,2.000,True,True
31,7.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
32,7.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
33,7.0,1.0,3.0,0.0,1.0,7.0,0.333,True,True
34,7.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
35,7.0,4.0,2.0,0.0,0.0,7.0,2.000,False,True
36,7.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
37,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
38,7.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
39,7.0,4.0,3.0,0.0,0.0,7.0,1.333,True,True
40,7.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
41,7.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
42,7.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
43,7.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
44,7.0,1.0,5.0,0.0,0.0,7.0,0.200,False,True
45,7.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
46,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
47,7.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
48,7.0,1.0,5.0,0.0,1.0,7.0,0.200,True,True
49,7.0,4.0,2.0,0.0,0.0,7.0,2.000,True,True
50,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
51,7.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
52,7.0,2.0,3.0,1.0,1.0,7.0,0.667,True,True
53,7.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
54,7.0,4.0,3.0,0.0,0.0,7.0,1.333,False,True
55,7.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
56,7.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
57,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
58,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
59,7.0,2.0,3.0,0.0,0.0,7.0,0.667,False,True
60,7.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
61,7.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
62,7.0,6.0,0.0,0.0,1.0,7.0,7.000,True,True
63,7.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
64,7.0,4.0,3.0,0.0,1.0,7.0,1.333,True,False
65,7.0,2.0,1.0,0.0,1.0,7.0,2.000,True,True
66,7.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
67,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
68,7.0,6.0,0.0,0.0,0.0,7.0,7.000,False,True
69,7.0,3.0,2.0,0.0,1.0,7.0,1.500,False,False
70,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
71,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
72,7.0,4.0,1.0,1.0,1.0,7.0,4.000,False,True
73,7.0,6.0,0.0,0.0,0.0,7.0,7.000,True,True
74,7.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
75,7.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
76,7.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
77,7.0,2.0,4.0,0.0,0.0,7.0,0.500,True,True
78,7.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
79,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
80,7.0,3.0,1.0,0.0,1.0,7.0,3.000,False,True
81,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
82,7.0,3.0,4.0,0.0,0.0,7.0,0.750,False,True
83,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
84,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
85,7.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
86,7.0,1.0,3.0,1.0,1.0,7.0,0.333,True,True
87,7.0,3.0,3.0,0.0,0.0,7.0,1.000,False,True
88,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
89,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
90,7.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
91,7.0,2.0,5.0,0.0,1.0,7.0,0.400,True,True
92,7.0,5.0,1.0,0.0,1.0,7.0,5.000,False,True
93,7.0,5.0,1.0,0.0,0.0,7.0,5.000,True,True
94,7.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
95,7.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
96,7.0,4.0,3.0,0.0,1.0,7.0,1.333,True,True
97,7.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
98,7.0,4.0,2.0,0.0,0.0,7.0,2.000,True,True
99,7.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
100,7.0,1.0,3.0,0.0,1.0,7.0,0.333,True,True
101,7.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
102,7.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
103,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
104,7.0,4.0,2.0,0.0,0.0,7.0,2.000,True,True
105,7.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
106,7.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
107,7.0,2.0,5.0,0.0,1.0,7.0,0.400,True,True
108,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
109,7.0,6.0,0.0,0.0,1.0,7.0,7.000,True,True
110,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
111,7.0,3.0,1.0,1.0,0.0,7.0,3.000,True,True
112,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
113,7.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
114,7.0,5.0,2.0,0.0,1.0,7.0,2.500,False,True
115,7.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
116,7.0,0.0,3.0,0.0,1.0,7.0,0.000,True,False
117,7.0,2.0,5.0,0.0,0.0,7.0,0.400,False,True
118,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
119,7.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
120,7.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
121,7.0,6.0,0.0,0.0,0.0,7.0,7.000,False,True
122,7.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
123,7.0,1.0,4.0,0.0,1.0,7.0,0.250,False,True
124,7.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
125,7.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
126,7.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
127,7.0,4.0,1.0,0.0,1.0,7.0,4.000,False,True
128,7.0,3.0,2.0,0.0,1.0,7.0,1.500,False,True
129,7.0,4.0,3.0,0.0,0.0,7.0,1.333,True,True
130,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
131,7.0,1.0,3.0,0.0,1.0,7.0,0.333,False,True
132,7.0,3.0,4.0,0.0,0.0,7.0,0.750,False,True
133,7.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
134,7.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
135,7.0,3.0,1.0,0.0,1.0,7.0,3.000,True,True
136,7.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
137,7.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
138,7.0,3.0,3.0,0.0,0.0,7.0,1.000,True,True
139,7.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
140,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,True
141,7.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
142,7.0,2.0,3.0,1.0,1.0,7.0,0.667,False,True
143,7.0,6.0,1.0,0.0,1.0,7.0,6.000,False,True
144,7.0,3.0,1.0,0.0,0.0,7.0,3.000,True,True
145,7.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
146,7.0,2.0,4.0,0.0,1.0,7.0,0.500,True,True
147,7.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
148,7.0,4.0,1.0,1.0,1.0,7.0,4.000,False,True
149,7.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
150,7.0,2.0,3.0,0.0,1.0,7.0,0.667,False,False
151,7.0,2.0,3.0,0.0,1.0,7.0,0.667,True,True
152,7.0,5.0,2.0,0.0,1.0,7.0,2.500,True,True
153,7.0,5.0,0.0,0.0,0.0,7.0,7.000,True,True
154,7.0,2.0,2.0,0.0,1.0,7.0,1.000,True,False
155,7.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
