,nodeId,ls,lc,le,ltx,number of neighbors,QOS,arm,jammed
0,5.0,3.0,0.0,0.0,1.0,7.0,7.000,False,False
1,5.0,2.0,3.0,0.0,0.0,7.0,0.667,True,False
2,5.0,1.0,5.0,0.0,1.0,7.0,0.200,False,True
3,5.0,4.0,2.0,1.0,1.0,7.0,2.000,True,True
4,5.0,5.0,0.0,0.0,1.0,7.0,7.000,True,True
5,5.0,3.0,3.0,0.0,1.0,7.0,1.000,True,False
6,5.0,2.0,3.0,0.0,0.0,7.0,0.667,False,True
7,5.0,1.0,4.0,0.0,1.0,7.0,0.250,True,True
8,5.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
9,5.0,4.0,3.0,0.0,1.0,7.0,1.333,False,True
10,5.0,4.0,0.0,0.0,1.0,7.0,7.000,True,True
11,5.0,1.0,4.0,0.0,0.0,7.0,0.250,False,False
12,5.0,1.0,5.0,0.0,1.0,7.0,0.200,True,True
13,5.0,3.0,4.0,0.0,1.0,7.0,0.750,True,True
14,5.0,4.0,2.0,0.0,0.0,7.0,2.000,True,True
15,5.0,5.0,1.0,0.0,1.0,7.0,5.000,True,True
16,5.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
17,5.0,3.0,3.0,0.0,1.0,7.0,1.000,True,True
18,5.0,2.0,1.0,1.0,1.0,7.0,2.000,False,True
19,5.0,3.0,3.0,0.0,0.0,7.0,1.000,False,True
20,5.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
21,5.0,2.0,4.0,0.0,1.0,7.0,0.500,False,True
22,5.0,3.0,3.0,0.0,1.0,7.0,1.000,False,True
23,5.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
24,5.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
25,5.0,2.0,5.0,0.0,1.0,7.0,0.400,False,True
26,5.0,2.0,3.0,0.0,1.0,7.0,0.667,False,True
27,5.0,5.0,2.0,0.0,0.0,7.0,2.500,False,True
28,5.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
29,5.0,4.0,2.0,0.0,1.0,7.0,2.000,True,True
30,5.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
31,5.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
32,5.0,4.0,1.0,0.0,1.0,7.0,4.000,True,True
33,5.0,3.0,2.0,0.0,0.0,7.0,1.500,False,True
34,5.0,3.0,4.0,0.0,1.0,7.0,0.750,False,True
35,5.0,3.0,2.0,0.0,1.0,7.0,1.500,True,True
36,5.0,4.0,2.0,0.0,1.0,7.0,2.000,False,True
37,5.0,1.0,3.0,0.0,1.0,7.0,0.333,True,True
38,5.0,2.0,5.0,0.0,0.0,7.0,0.400,False,True
