0;5;7;0;0;1;7
1;5;3;0;0;1;7
2;5;2;3;0;0;7
3;5;1;5;0;1;7
4;5;4;2;1;1;7
5;5;5;0;0;1;7
6;5;3;3;0;1;7
7;5;2;3;0;0;7
8;5;1;4;0;1;7
9;5;2;5;0;1;7
10;5;4;3;0;1;7
11;5;4;0;0;1;7
12;5;1;4;0;0;7
13;5;1;5;0;1;7
14;5;3;4;0;1;7
15;5;4;2;0;0;7
16;5;5;1;0;1;7
17;5;4;2;0;1;7
18;5;3;3;0;1;7
19;5;2;1;1;1;7
20;5;3;3;0;0;7
21;5;2;4;0;1;7
22;5;2;4;0;1;7
23;5;3;3;0;1;7
24;5;3;2;0;1;7
25;5;2;3;0;1;7
26;5;2;5;0;1;7
27;5;2;3;0;1;7
28;5;5;2;0;0;7
29;5;4;2;0;1;7
30;5;4;2;0;1;7
31;5;3;2;0;1;7
32;5;4;2;0;1;7
33;5;4;1;0;1;7
34;5;3;2;0;0;7
35;5;3;4;0;1;7
36;5;3;2;0;1;7
37;5;4;2;0;1;7
38;5;1;3;0;1;7
39;5;2;5;0;0;7
40;5;3;3;0;1;7
41;5;4;3;0;1;7
42;5;5;0;0;1;7
43;5;2;1;1;1;7
44;5;2;5;0;0;7
45;5;1;4;0;1;7
46;5;4;2;0;1;7
47;5;1;3;0;1;7
48;5;3;3;0;1;7
49;5;2;5;0;0;7
50;5;3;2;0;1;7
51;5;3;3;0;1;7
52;5;3;2;0;1;7
53;5;3;3;0;1;7
54;5;3;3;0;1;7
55;5;4;2;0;1;7
56;5;3;1;1;1;7
57;5;4;3;0;1;7
58;5;4;1;0;0;7
59;5;4;2;0;1;7
60;5;2;2;0;1;7
61;5;1;5;0;1;7
62;5;4;3;0;1;7
63;5;6;0;0;1;7
64;5;5;0;0;0;7
65;5;4;3;0;1;7
66;5;2;1;0;1;7
67;5;1;6;0;1;7
68;5;3;3;0;1;7
69;5;6;0;0;0;7
70;5;3;2;0;1;7
71;5;3;3;0;1;7
72;5;2;4;0;1;7
73;5;5;1;0;1;7
74;5;6;0;0;0;7
75;5;3;1;0;1;7
76;5;1;4;0;1;7
77;5;3;4;0;1;7
78;5;1;4;0;1;7
79;5;5;2;0;0;7
80;5;3;3;0;1;7
81;5;3;1;0;1;7
