State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.48247e+10ns	+36000ns	CCA_BUSY	178	697
+3.48247e+10ns	+0ns	CCA_BUSY	178	697
+3.48247e+10ns	+728000ns	RX	178	697
+3.48255e+10ns	+1.00071e+07ns	IDLE	178	697
+3.48355e+10ns	+36000ns	CCA_BUSY	178	697
+3.48355e+10ns	+0ns	CCA_BUSY	178	697
+3.48355e+10ns	+728000ns	RX	178	697
+3.48362e+10ns	+9.825e+06ns	IDLE	178	697
+3.48461e+10ns	+36000ns	CCA_BUSY	178	697
+3.48461e+10ns	+0ns	CCA_BUSY	178	697
+3.48461e+10ns	+728000ns	RX	178	697
+3.48468e+10ns	+3.1788e+06ns	IDLE	178	697
+3.485e+10ns	+250000ns	SWITCHING	178	697
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.48502e+10ns	+4.975e+07ns	IDLE	172	698
+3.49e+10ns	+250000ns	SWITCHING	172	698
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.49002e+10ns	+3.808e+06ns	IDLE	178	699
+3.49041e+10ns	+768000ns	TX	178	699
+3.49048e+10ns	+1.002e+07ns	IDLE	178	699
+3.49148e+10ns	+36000ns	CCA_BUSY	178	699
+3.49149e+10ns	+0ns	CCA_BUSY	178	699
+3.49149e+10ns	+728000ns	RX	178	699
+3.49156e+10ns	+7.69307e+06ns	IDLE	178	699
+3.49233e+10ns	+36000ns	CCA_BUSY	178	699
+3.49233e+10ns	+0ns	CCA_BUSY	178	699
+3.49233e+10ns	+728000ns	RX	178	699
+3.49241e+10ns	+2.59329e+07ns	IDLE	178	699
+3.495e+10ns	+250000ns	SWITCHING	178	699
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.49502e+10ns	+4.975e+07ns	IDLE	172	700
+3.5e+10ns	+250000ns	SWITCHING	172	700
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.50002e+10ns	+3.81202e+06ns	IDLE	178	701
+3.50041e+10ns	+36000ns	CCA_BUSY	178	701
+3.50041e+10ns	+0ns	CCA_BUSY	178	701
+3.50041e+10ns	+728000ns	RX	178	701
+3.50048e+10ns	+2.7011e+06ns	IDLE	178	701
+3.50075e+10ns	+36000ns	CCA_BUSY	178	701
+3.50076e+10ns	+0ns	CCA_BUSY	178	701
+3.50076e+10ns	+728000ns	RX	178	701
+3.50083e+10ns	+334999ns	IDLE	178	701
+3.50086e+10ns	+36000ns	CCA_BUSY	178	701
+3.50087e+10ns	+0ns	CCA_BUSY	178	701
+3.50087e+10ns	+728000ns	RX	178	701
+3.50094e+10ns	+7.03003e+06ns	IDLE	178	701
+3.50164e+10ns	+36000ns	CCA_BUSY	178	701
+3.50165e+10ns	+0ns	CCA_BUSY	178	701
+3.50165e+10ns	+728000ns	RX	178	701
+3.50172e+10ns	+8.768e+06ns	IDLE	178	701
+3.5026e+10ns	+768000ns	TX	178	701
+3.50267e+10ns	+2.32799e+07ns	IDLE	178	701
+3.505e+10ns	+250000ns	SWITCHING	178	701
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.50502e+10ns	+4.975e+07ns	IDLE	172	702
+3.51e+10ns	+250000ns	SWITCHING	172	702
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.51002e+10ns	+3.81202e+06ns	IDLE	178	703
+3.51041e+10ns	+36000ns	CCA_BUSY	178	703
+3.51041e+10ns	+0ns	CCA_BUSY	178	703
+3.51041e+10ns	+728000ns	RX	178	703
+3.51048e+10ns	+17ns	CCA_BUSY	178	703
+3.51048e+10ns	+4.36507e+06ns	IDLE	178	703
+3.51092e+10ns	+36000ns	CCA_BUSY	178	703
+3.51092e+10ns	+0ns	CCA_BUSY	178	703
+3.51092e+10ns	+728000ns	RX	178	703
+3.511e+10ns	+2.3683e+07ns	IDLE	178	703
+3.51336e+10ns	+36000ns	CCA_BUSY	178	703
+3.51337e+10ns	+0ns	CCA_BUSY	178	703
+3.51337e+10ns	+728000ns	RX	178	703
+3.51344e+10ns	+1.55979e+07ns	IDLE	178	703
+3.515e+10ns	+250000ns	SWITCHING	178	703
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.51502e+10ns	+4.975e+07ns	IDLE	172	704
+3.52e+10ns	+250000ns	SWITCHING	172	704
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.52002e+10ns	+3.808e+06ns	IDLE	178	705
+3.52041e+10ns	+768000ns	TX	178	705
+3.52048e+10ns	+33ns	CCA_BUSY	178	705
+3.52048e+10ns	+88067ns	IDLE	178	705
+3.52049e+10ns	+36000ns	CCA_BUSY	178	705
+3.5205e+10ns	+0ns	CCA_BUSY	178	705
+3.5205e+10ns	+728000ns	RX	178	705
+3.52057e+10ns	+1.275e+07ns	IDLE	178	705
+3.52184e+10ns	+36000ns	CCA_BUSY	178	705
+3.52185e+10ns	+0ns	CCA_BUSY	178	705
+3.52185e+10ns	+728000ns	RX	178	705
+3.52192e+10ns	+2.42803e+06ns	IDLE	178	705
+3.52216e+10ns	+36000ns	CCA_BUSY	178	705
+3.52217e+10ns	+0ns	CCA_BUSY	178	705
+3.52217e+10ns	+728000ns	RX	178	705
+3.52224e+10ns	+1.9978e+07ns	IDLE	178	705
+3.52424e+10ns	+36000ns	CCA_BUSY	178	705
+3.52424e+10ns	+0ns	CCA_BUSY	178	705
+3.52424e+10ns	+728000ns	RX	178	705
+3.52431e+10ns	+6.8738e+06ns	IDLE	178	705
+3.525e+10ns	+250000ns	SWITCHING	178	705
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.52502e+10ns	+4.975e+07ns	IDLE	172	706
+3.53e+10ns	+250000ns	SWITCHING	172	706
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.53002e+10ns	+3.8121e+06ns	IDLE	178	707
+3.53041e+10ns	+36000ns	CCA_BUSY	178	707
+3.53041e+10ns	+0ns	CCA_BUSY	178	707
+3.53041e+10ns	+728000ns	RX	178	707
+3.53048e+10ns	+84000ns	IDLE	178	707
+3.53049e+10ns	+768000ns	TX	178	707
+3.53057e+10ns	+8.70703e+06ns	IDLE	178	707
+3.53144e+10ns	+36000ns	CCA_BUSY	178	707
+3.53144e+10ns	+0ns	CCA_BUSY	178	707
+3.53144e+10ns	+728000ns	RX	178	707
+3.53151e+10ns	+1.5389e+07ns	IDLE	178	707
+3.53305e+10ns	+36000ns	CCA_BUSY	178	707
+3.53306e+10ns	+0ns	CCA_BUSY	178	707
+3.53306e+10ns	+728000ns	RX	178	707
+3.53313e+10ns	+62033ns	IDLE	178	707
+3.53314e+10ns	+36000ns	CCA_BUSY	178	707
+3.53314e+10ns	+0ns	CCA_BUSY	178	707
+3.53314e+10ns	+728000ns	RX	178	707
+3.53321e+10ns	+361032ns	IDLE	178	707
+3.53325e+10ns	+36000ns	CCA_BUSY	178	707
+3.53325e+10ns	+0ns	CCA_BUSY	178	707
+3.53325e+10ns	+728000ns	RX	178	707
+3.53333e+10ns	+1.2022e+07ns	IDLE	178	707
+3.53453e+10ns	+36000ns	CCA_BUSY	178	707
+3.53453e+10ns	+0ns	CCA_BUSY	178	707
+3.53453e+10ns	+728000ns	RX	178	707
+3.5346e+10ns	+3.96074e+06ns	IDLE	178	707
+3.535e+10ns	+250000ns	SWITCHING	178	707
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.53502e+10ns	+4.975e+07ns	IDLE	172	708
+3.54e+10ns	+250000ns	SWITCHING	172	708
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.54002e+10ns	+3.81202e+06ns	IDLE	178	709
+3.54041e+10ns	+36000ns	CCA_BUSY	178	709
+3.54041e+10ns	+0ns	CCA_BUSY	178	709
+3.54041e+10ns	+728000ns	RX	178	709
+3.54048e+10ns	+8.222e+06ns	IDLE	178	709
+3.5413e+10ns	+768000ns	TX	178	709
+3.54138e+10ns	+1.7404e+07ns	IDLE	178	709
+3.54312e+10ns	+36000ns	CCA_BUSY	178	709
+3.54313e+10ns	+0ns	CCA_BUSY	178	709
+3.54313e+10ns	+728000ns	RX	178	709
+3.5432e+10ns	+1.8016e+07ns	IDLE	178	709
+3.545e+10ns	+250000ns	SWITCHING	178	709
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.54502e+10ns	+4.975e+07ns	IDLE	172	710
+3.55e+10ns	+250000ns	SWITCHING	172	710
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.55002e+10ns	+3.81202e+06ns	IDLE	178	711
+3.55041e+10ns	+36000ns	CCA_BUSY	178	711
+3.55041e+10ns	+0ns	CCA_BUSY	178	711
+3.55041e+10ns	+728000ns	RX	178	711
+3.55048e+10ns	+17ns	CCA_BUSY	178	711
+3.55048e+10ns	+3.0001e+06ns	IDLE	178	711
+3.55078e+10ns	+36000ns	CCA_BUSY	178	711
+3.55079e+10ns	+0ns	CCA_BUSY	178	711
+3.55079e+10ns	+728000ns	RX	178	711
+3.55086e+10ns	+3.1141e+07ns	IDLE	178	711
+3.55397e+10ns	+768000ns	TX	178	711
+3.55405e+10ns	+9.50087e+06ns	IDLE	178	711
+3.555e+10ns	+250000ns	SWITCHING	178	711
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.55502e+10ns	+4.975e+07ns	IDLE	172	712
+3.56e+10ns	+250000ns	SWITCHING	172	712
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.56002e+10ns	+3.81202e+06ns	IDLE	178	713
+3.56041e+10ns	+36000ns	CCA_BUSY	178	713
+3.56041e+10ns	+0ns	CCA_BUSY	178	713
+3.56041e+10ns	+728000ns	RX	178	713
+3.56048e+10ns	+17ns	CCA_BUSY	178	713
+3.56048e+10ns	+2.2422e+07ns	IDLE	178	713
+3.56272e+10ns	+36000ns	CCA_BUSY	178	713
+3.56273e+10ns	+0ns	CCA_BUSY	178	713
+3.56273e+10ns	+728000ns	RX	178	713
+3.5628e+10ns	+2.1988e+07ns	IDLE	178	713
+3.565e+10ns	+250000ns	SWITCHING	178	713
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.56502e+10ns	+4.975e+07ns	IDLE	172	714
+3.57e+10ns	+250000ns	SWITCHING	172	714
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.57002e+10ns	+3.808e+06ns	IDLE	178	715
+3.57041e+10ns	+768000ns	TX	178	715
+3.57048e+10ns	+16ns	CCA_BUSY	178	715
+3.57048e+10ns	+62100ns	IDLE	178	715
+3.57049e+10ns	+36000ns	CCA_BUSY	178	715
+3.57049e+10ns	+0ns	CCA_BUSY	178	715
+3.57049e+10ns	+728000ns	RX	178	715
+3.57057e+10ns	+8.005e+06ns	IDLE	178	715
+3.57137e+10ns	+36000ns	CCA_BUSY	178	715
+3.57137e+10ns	+0ns	CCA_BUSY	178	715
+3.57137e+10ns	+728000ns	RX	178	715
+3.57144e+10ns	+1.4882e+07ns	IDLE	178	715
+3.57293e+10ns	+36000ns	CCA_BUSY	178	715
+3.57293e+10ns	+0ns	CCA_BUSY	178	715
+3.57293e+10ns	+728000ns	RX	178	715
+3.57301e+10ns	+4.19603e+06ns	IDLE	178	715
+3.57343e+10ns	+36000ns	CCA_BUSY	178	715
+3.57343e+10ns	+0ns	CCA_BUSY	178	715
+3.57343e+10ns	+728000ns	RX	178	715
+3.5735e+10ns	+1.49729e+07ns	IDLE	178	715
+3.575e+10ns	+250000ns	SWITCHING	178	715
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.57502e+10ns	+4.975e+07ns	IDLE	172	716
+3.58e+10ns	+250000ns	SWITCHING	172	716
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.58002e+10ns	+3.808e+06ns	IDLE	178	717
+3.58041e+10ns	+768000ns	TX	178	717
+3.58048e+10ns	+5.3401e+06ns	IDLE	178	717
+3.58102e+10ns	+36000ns	CCA_BUSY	178	717
+3.58102e+10ns	+0ns	CCA_BUSY	178	717
+3.58102e+10ns	+728000ns	RX	178	717
+3.58109e+10ns	+2.61e+06ns	IDLE	178	717
+3.58135e+10ns	+36000ns	CCA_BUSY	178	717
+3.58136e+10ns	+0ns	CCA_BUSY	178	717
+3.58136e+10ns	+728000ns	RX	178	717
+3.58143e+10ns	+933032ns	IDLE	178	717
+3.58152e+10ns	+36000ns	CCA_BUSY	178	717
+3.58153e+10ns	+0ns	CCA_BUSY	178	717
+3.58153e+10ns	+728000ns	RX	178	717
+3.5816e+10ns	+101000ns	IDLE	178	717
+3.58161e+10ns	+36000ns	CCA_BUSY	178	717
+3.58161e+10ns	+0ns	CCA_BUSY	178	717
+3.58161e+10ns	+728000ns	RX	178	717
+3.58169e+10ns	+2.757e+07ns	IDLE	178	717
+3.58444e+10ns	+36000ns	CCA_BUSY	178	717
+3.58445e+10ns	+0ns	CCA_BUSY	178	717
+3.58445e+10ns	+728000ns	RX	178	717
+3.58452e+10ns	+4.79984e+06ns	IDLE	178	717
+3.585e+10ns	+250000ns	SWITCHING	178	717
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.58502e+10ns	+4.975e+07ns	IDLE	172	718
+3.59e+10ns	+250000ns	SWITCHING	172	718
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.59002e+10ns	+3.808e+06ns	IDLE	178	719
+3.59041e+10ns	+768000ns	TX	178	719
+3.59048e+10ns	+33ns	CCA_BUSY	178	719
+3.59048e+10ns	+1.00721e+07ns	IDLE	178	719
+3.59149e+10ns	+36000ns	CCA_BUSY	178	719
+3.59149e+10ns	+0ns	CCA_BUSY	178	719
+3.59149e+10ns	+728000ns	RX	178	719
+3.59157e+10ns	+1.8236e+07ns	IDLE	178	719
+3.59339e+10ns	+36000ns	CCA_BUSY	178	719
+3.59339e+10ns	+0ns	CCA_BUSY	178	719
+3.59339e+10ns	+728000ns	RX	178	719
+3.59347e+10ns	+4.17e+06ns	IDLE	178	719
+3.59388e+10ns	+36000ns	CCA_BUSY	178	719
+3.59389e+10ns	+0ns	CCA_BUSY	178	719
+3.59389e+10ns	+728000ns	RX	178	719
+3.59396e+10ns	+8.01803e+06ns	IDLE	178	719
+3.59476e+10ns	+36000ns	CCA_BUSY	178	719
+3.59477e+10ns	+0ns	CCA_BUSY	178	719
+3.59477e+10ns	+728000ns	RX	178	719
+3.59484e+10ns	+101167ns	IDLE	178	719
+3.59485e+10ns	+36000ns	CCA_BUSY	178	719
+3.59485e+10ns	+0ns	CCA_BUSY	178	719
+3.59485e+10ns	+728000ns	RX	178	719
+3.59492e+10ns	+756668ns	IDLE	178	719
+3.595e+10ns	+250000ns	SWITCHING	178	719
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.59502e+10ns	+4.975e+07ns	IDLE	172	720
+3.6e+10ns	+250000ns	SWITCHING	172	720
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.60002e+10ns	+3.81203e+06ns	IDLE	178	721
+3.60041e+10ns	+36000ns	CCA_BUSY	178	721
+3.60041e+10ns	+0ns	CCA_BUSY	178	721
+3.60041e+10ns	+728000ns	RX	178	721
+3.60048e+10ns	+88133ns	IDLE	178	721
+3.60049e+10ns	+36000ns	CCA_BUSY	178	721
+3.6005e+10ns	+0ns	CCA_BUSY	178	721
+3.6005e+10ns	+728000ns	RX	178	721
+3.60057e+10ns	+1.1121e+07ns	IDLE	178	721
+3.60168e+10ns	+768000ns	TX	178	721
+3.60176e+10ns	+1.62861e+07ns	IDLE	178	721
+3.60339e+10ns	+36000ns	CCA_BUSY	178	721
+3.60339e+10ns	+0ns	CCA_BUSY	178	721
+3.60339e+10ns	+728000ns	RX	178	721
+3.60346e+10ns	+5.262e+06ns	IDLE	178	721
+3.60399e+10ns	+36000ns	CCA_BUSY	178	721
+3.60399e+10ns	+0ns	CCA_BUSY	178	721
+3.60399e+10ns	+728000ns	RX	178	721
+3.60406e+10ns	+9.35674e+06ns	IDLE	178	721
+3.605e+10ns	+250000ns	SWITCHING	178	721
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.60502e+10ns	+4.975e+07ns	IDLE	172	722
+3.61e+10ns	+250000ns	SWITCHING	172	722
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.61002e+10ns	+3.81202e+06ns	IDLE	178	723
+3.61041e+10ns	+36000ns	CCA_BUSY	178	723
+3.61041e+10ns	+0ns	CCA_BUSY	178	723
+3.61041e+10ns	+728000ns	RX	178	723
+3.61048e+10ns	+17ns	CCA_BUSY	178	723
+3.61048e+10ns	+3.3559e+07ns	IDLE	178	723
+3.61384e+10ns	+768000ns	TX	178	723
+3.61392e+10ns	+1.4532e+06ns	IDLE	178	723
+3.61406e+10ns	+36000ns	CCA_BUSY	178	723
+3.61406e+10ns	+0ns	CCA_BUSY	178	723
+3.61406e+10ns	+728000ns	RX	178	723
+3.61414e+10ns	+8.62977e+06ns	IDLE	178	723
+3.615e+10ns	+250000ns	SWITCHING	178	723
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.61502e+10ns	+4.975e+07ns	IDLE	172	724
+3.62e+10ns	+250000ns	SWITCHING	172	724
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.62002e+10ns	+3.81202e+06ns	IDLE	178	725
+3.62041e+10ns	+36000ns	CCA_BUSY	178	725
+3.62041e+10ns	+0ns	CCA_BUSY	178	725
+3.62041e+10ns	+728000ns	RX	178	725
+3.62048e+10ns	+7.00403e+06ns	IDLE	178	725
+3.62118e+10ns	+36000ns	CCA_BUSY	178	725
+3.62119e+10ns	+0ns	CCA_BUSY	178	725
+3.62119e+10ns	+728000ns	RX	178	725
+3.62126e+10ns	+2.00951e+07ns	IDLE	178	725
+3.62327e+10ns	+36000ns	CCA_BUSY	178	725
+3.62327e+10ns	+0ns	CCA_BUSY	178	725
+3.62327e+10ns	+728000ns	RX	178	725
+3.62335e+10ns	+1.65469e+07ns	IDLE	178	725
+3.625e+10ns	+250000ns	SWITCHING	178	725
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.62502e+10ns	+4.975e+07ns	IDLE	172	726
+3.63e+10ns	+250000ns	SWITCHING	172	726
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.63002e+10ns	+3.808e+06ns	IDLE	178	727
+3.63041e+10ns	+768000ns	TX	178	727
+3.63048e+10ns	+16ns	CCA_BUSY	178	727
+3.63048e+10ns	+946100ns	IDLE	178	727
+3.63058e+10ns	+36000ns	CCA_BUSY	178	727
+3.63058e+10ns	+0ns	CCA_BUSY	178	727
+3.63058e+10ns	+728000ns	RX	178	727
+3.63065e+10ns	+4.0024e+07ns	IDLE	178	727
+3.63466e+10ns	+36000ns	CCA_BUSY	178	727
+3.63466e+10ns	+0ns	CCA_BUSY	178	727
+3.63466e+10ns	+728000ns	RX	178	727
+3.63473e+10ns	+2.67585e+06ns	IDLE	178	727
+3.635e+10ns	+250000ns	SWITCHING	178	727
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.63502e+10ns	+4.975e+07ns	IDLE	172	728
+3.64e+10ns	+250000ns	SWITCHING	172	728
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.64002e+10ns	+3.808e+06ns	IDLE	178	729
+3.64041e+10ns	+768000ns	TX	178	729
+3.64048e+10ns	+33ns	CCA_BUSY	178	729
+3.64048e+10ns	+3.36402e+06ns	IDLE	178	729
+3.64082e+10ns	+36000ns	CCA_BUSY	178	729
+3.64082e+10ns	+0ns	CCA_BUSY	178	729
+3.64082e+10ns	+728000ns	RX	178	729
+3.6409e+10ns	+2.38913e+06ns	IDLE	178	729
+3.64113e+10ns	+36000ns	CCA_BUSY	178	729
+3.64114e+10ns	+0ns	CCA_BUSY	178	729
+3.64114e+10ns	+728000ns	RX	178	729
+3.64121e+10ns	+5.431e+06ns	IDLE	178	729
+3.64175e+10ns	+36000ns	CCA_BUSY	178	729
+3.64176e+10ns	+0ns	CCA_BUSY	178	729
+3.64176e+10ns	+728000ns	RX	178	729
+3.64183e+10ns	+3.16978e+07ns	IDLE	178	729
+3.645e+10ns	+250000ns	SWITCHING	178	729
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.64502e+10ns	+4.975e+07ns	IDLE	172	730
+3.65e+10ns	+250000ns	SWITCHING	172	730
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.65002e+10ns	+3.808e+06ns	IDLE	178	731
+3.65041e+10ns	+768000ns	TX	178	731
+3.65048e+10ns	+33ns	CCA_BUSY	178	731
+3.65048e+10ns	+1.94581e+07ns	IDLE	178	731
+3.65243e+10ns	+36000ns	CCA_BUSY	178	731
+3.65243e+10ns	+0ns	CCA_BUSY	178	731
+3.65243e+10ns	+728000ns	RX	178	731
+3.6525e+10ns	+5.418e+06ns	IDLE	178	731
+3.65305e+10ns	+36000ns	CCA_BUSY	178	731
+3.65305e+10ns	+0ns	CCA_BUSY	178	731
+3.65305e+10ns	+728000ns	RX	178	731
+3.65312e+10ns	+1.87699e+07ns	IDLE	178	731
+3.655e+10ns	+250000ns	SWITCHING	178	731
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.65502e+10ns	+4.975e+07ns	IDLE	172	732
+3.66e+10ns	+250000ns	SWITCHING	172	732
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.66002e+10ns	+3.81203e+06ns	IDLE	178	733
+3.66041e+10ns	+764000ns	CCA_BUSY	178	733
+3.66048e+10ns	+88100ns	IDLE	178	733
+3.66049e+10ns	+36000ns	CCA_BUSY	178	733
+3.6605e+10ns	+0ns	CCA_BUSY	178	733
+3.6605e+10ns	+728000ns	RX	178	733
+3.66057e+10ns	+3.41603e+06ns	IDLE	178	733
+3.66091e+10ns	+36000ns	CCA_BUSY	178	733
+3.66091e+10ns	+0ns	CCA_BUSY	178	733
+3.66091e+10ns	+728000ns	RX	178	733
+3.66099e+10ns	+1.5632e+07ns	IDLE	178	733
+3.66255e+10ns	+768000ns	TX	178	733
+3.66263e+10ns	+2.13302e+07ns	IDLE	178	733
+3.66476e+10ns	+36000ns	CCA_BUSY	178	733
+3.66476e+10ns	+0ns	CCA_BUSY	178	733
+3.66476e+10ns	+728000ns	RX	178	733
+3.66484e+10ns	+1.64767e+06ns	IDLE	178	733
+3.665e+10ns	+250000ns	SWITCHING	178	733
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.66502e+10ns	+4.975e+07ns	IDLE	172	734
+3.67e+10ns	+250000ns	SWITCHING	172	734
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.67002e+10ns	+3.81202e+06ns	IDLE	178	735
+3.67041e+10ns	+36000ns	CCA_BUSY	178	735
+3.67041e+10ns	+0ns	CCA_BUSY	178	735
+3.67041e+10ns	+728000ns	RX	178	735
+3.67048e+10ns	+17ns	CCA_BUSY	178	735
+3.67048e+10ns	+4.4301e+06ns	IDLE	178	735
+3.67093e+10ns	+36000ns	CCA_BUSY	178	735
+3.67093e+10ns	+0ns	CCA_BUSY	178	735
+3.67093e+10ns	+728000ns	RX	178	735
+3.671e+10ns	+114032ns	IDLE	178	735
+3.67101e+10ns	+36000ns	CCA_BUSY	178	735
+3.67102e+10ns	+0ns	CCA_BUSY	178	735
+3.67102e+10ns	+728000ns	RX	178	735
+3.67109e+10ns	+2.68811e+07ns	IDLE	178	735
+3.67378e+10ns	+36000ns	CCA_BUSY	178	735
+3.67378e+10ns	+0ns	CCA_BUSY	178	735
+3.67378e+10ns	+728000ns	RX	178	735
+3.67385e+10ns	+1.14567e+07ns	IDLE	178	735
+3.675e+10ns	+250000ns	SWITCHING	178	735
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.67502e+10ns	+4.975e+07ns	IDLE	172	736
+3.68e+10ns	+250000ns	SWITCHING	172	736
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.68002e+10ns	+3.808e+06ns	IDLE	178	737
+3.68041e+10ns	+768000ns	TX	178	737
+3.68048e+10ns	+33ns	CCA_BUSY	178	737
+3.68048e+10ns	+2.75311e+07ns	IDLE	178	737
+3.68324e+10ns	+36000ns	CCA_BUSY	178	737
+3.68324e+10ns	+0ns	CCA_BUSY	178	737
+3.68324e+10ns	+728000ns	RX	178	737
+3.68331e+10ns	+4.07903e+06ns	IDLE	178	737
+3.68372e+10ns	+36000ns	CCA_BUSY	178	737
+3.68372e+10ns	+0ns	CCA_BUSY	178	737
+3.68372e+10ns	+728000ns	RX	178	737
+3.6838e+10ns	+7.2121e+06ns	IDLE	178	737
+3.68452e+10ns	+36000ns	CCA_BUSY	178	737
+3.68452e+10ns	+0ns	CCA_BUSY	178	737
+3.68452e+10ns	+728000ns	RX	178	737
+3.68459e+10ns	+4.05974e+06ns	IDLE	178	737
+3.685e+10ns	+250000ns	SWITCHING	178	737
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.68502e+10ns	+4.975e+07ns	IDLE	172	738
+3.69e+10ns	+250000ns	SWITCHING	172	738
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.69002e+10ns	+3.808e+06ns	IDLE	178	739
+3.69041e+10ns	+768000ns	TX	178	739
+3.69048e+10ns	+16ns	CCA_BUSY	178	739
+3.69048e+10ns	+88083ns	IDLE	178	739
+3.69049e+10ns	+36000ns	CCA_BUSY	178	739
+3.6905e+10ns	+0ns	CCA_BUSY	178	739
+3.6905e+10ns	+728000ns	RX	178	739
+3.69057e+10ns	+3.7086e+07ns	IDLE	178	739
+3.69428e+10ns	+36000ns	CCA_BUSY	178	739
+3.69428e+10ns	+0ns	CCA_BUSY	178	739
+3.69428e+10ns	+728000ns	RX	178	739
+3.69435e+10ns	+6.4719e+06ns	IDLE	178	739
+3.695e+10ns	+250000ns	SWITCHING	178	739
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.69502e+10ns	+4.975e+07ns	IDLE	172	740
+3.7e+10ns	+250000ns	SWITCHING	172	740
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.70002e+10ns	+3.808e+06ns	IDLE	178	741
+3.70041e+10ns	+768000ns	TX	178	741
+3.70048e+10ns	+16ns	CCA_BUSY	178	741
+3.70048e+10ns	+3.2201e+07ns	IDLE	178	741
+3.7037e+10ns	+36000ns	CCA_BUSY	178	741
+3.70371e+10ns	+0ns	CCA_BUSY	178	741
+3.70371e+10ns	+728000ns	RX	178	741
+3.70378e+10ns	+8.46013e+06ns	IDLE	178	741
+3.70463e+10ns	+36000ns	CCA_BUSY	178	741
+3.70463e+10ns	+0ns	CCA_BUSY	178	741
+3.70463e+10ns	+728000ns	RX	178	741
+3.7047e+10ns	+2.98484e+06ns	IDLE	178	741
+3.705e+10ns	+250000ns	SWITCHING	178	741
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.70502e+10ns	+4.975e+07ns	IDLE	172	742
+3.71e+10ns	+250000ns	SWITCHING	172	742
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.71002e+10ns	+3.808e+06ns	IDLE	178	743
+3.71041e+10ns	+768000ns	TX	178	743
+3.71048e+10ns	+33ns	CCA_BUSY	178	743
+3.71048e+10ns	+1.96007e+06ns	IDLE	178	743
+3.71068e+10ns	+36000ns	CCA_BUSY	178	743
+3.71068e+10ns	+0ns	CCA_BUSY	178	743
+3.71068e+10ns	+728000ns	RX	178	743
+3.71076e+10ns	+985032ns	IDLE	178	743
+3.71085e+10ns	+36000ns	CCA_BUSY	178	743
+3.71086e+10ns	+0ns	CCA_BUSY	178	743
+3.71086e+10ns	+728000ns	RX	178	743
+3.71093e+10ns	+4.07009e+07ns	IDLE	178	743
+3.715e+10ns	+250000ns	SWITCHING	178	743
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.71502e+10ns	+4.975e+07ns	IDLE	172	744
+3.72e+10ns	+250000ns	SWITCHING	172	744
TimeStart 	 Duration 	 state 	 channel 	 cw 
+3.72002e+10ns	+3.81202e+06ns	IDLE	178	745
+3.72041e+10ns	+36000ns	CCA_BUSY	178	745
