State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+5.0025e+08ns	+3.81208e+06ns	IDLE	178	11
+5.04062e+08ns	+36000ns	CCA_BUSY	178	11
+5.04098e+08ns	+0ns	CCA_BUSY	178	11
+5.04098e+08ns	+728000ns	RX	178	11
+5.04826e+08ns	+62000ns	IDLE	178	11
+5.04888e+08ns	+36000ns	CCA_BUSY	178	11
+5.04924e+08ns	+0ns	CCA_BUSY	178	11
+5.04924e+08ns	+728000ns	RX	178	11
+5.05652e+08ns	+9.61707e+06ns	IDLE	178	11
+5.15269e+08ns	+36000ns	CCA_BUSY	178	11
+5.15305e+08ns	+0ns	CCA_BUSY	178	11
+5.15305e+08ns	+728000ns	RX	178	11
+5.16033e+08ns	+4.742e+06ns	IDLE	178	11
+5.20775e+08ns	+36000ns	CCA_BUSY	178	11
+5.20811e+08ns	+0ns	CCA_BUSY	178	11
+5.20811e+08ns	+728000ns	RX	178	11
+5.21539e+08ns	+9.149e+06ns	IDLE	178	11
+5.30688e+08ns	+36000ns	CCA_BUSY	178	11
+5.30724e+08ns	+0ns	CCA_BUSY	178	11
+5.30724e+08ns	+728000ns	RX	178	11
+5.31452e+08ns	+712167ns	IDLE	178	11
+5.32164e+08ns	+36000ns	CCA_BUSY	178	11
+5.322e+08ns	+0ns	CCA_BUSY	178	11
+5.322e+08ns	+728000ns	RX	178	11
+5.32928e+08ns	+1.70717e+07ns	IDLE	178	11
+5.5e+08ns	+250000ns	SWITCHING	178	11
TimeStart 	 Duration 	 state 	 channel 	 cw 
+5.5025e+08ns	+4.975e+07ns	IDLE	172	12
+6e+08ns	+250000ns	SWITCHING	172	12
TimeStart 	 Duration 	 state 	 channel 	 cw 
+6.0025e+08ns	+3.808e+06ns	IDLE	178	13
+6.04058e+08ns	+768000ns	TX	178	13
+6.04826e+08ns	+16ns	CCA_BUSY	178	13
+6.04826e+08ns	+1.06701e+07ns	IDLE	178	13
+6.15496e+08ns	+36000ns	CCA_BUSY	178	13
+6.15532e+08ns	+0ns	CCA_BUSY	178	13
+6.15532e+08ns	+728000ns	RX	178	13
+6.1626e+08ns	+1.479e+06ns	IDLE	178	13
+6.17739e+08ns	+36000ns	CCA_BUSY	178	13
+6.17775e+08ns	+0ns	CCA_BUSY	178	13
+6.17775e+08ns	+728000ns	RX	178	13
+6.18503e+08ns	+2.02511e+07ns	IDLE	178	13
+6.38754e+08ns	+36000ns	CCA_BUSY	178	13
+6.3879e+08ns	+0ns	CCA_BUSY	178	13
+6.3879e+08ns	+728000ns	RX	178	13
+6.39518e+08ns	+1.375e+06ns	IDLE	178	13
+6.40893e+08ns	+36000ns	CCA_BUSY	178	13
+6.40929e+08ns	+0ns	CCA_BUSY	178	13
+6.40929e+08ns	+728000ns	RX	178	13
+6.41657e+08ns	+8.34278e+06ns	IDLE	178	13
+6.5e+08ns	+250000ns	SWITCHING	178	13
TimeStart 	 Duration 	 state 	 channel 	 cw 
+6.5025e+08ns	+4.975e+07ns	IDLE	172	14
+7e+08ns	+250000ns	SWITCHING	172	14
TimeStart 	 Duration 	 state 	 channel 	 cw 
+7.0025e+08ns	+3.808e+06ns	IDLE	178	15
+7.04058e+08ns	+768000ns	TX	178	15
+7.04826e+08ns	+16ns	CCA_BUSY	178	15
+7.04826e+08ns	+1.73451e+07ns	IDLE	178	15
+7.22171e+08ns	+36000ns	CCA_BUSY	178	15
+7.22207e+08ns	+0ns	CCA_BUSY	178	15
+7.22207e+08ns	+728000ns	RX	178	15
+7.22935e+08ns	+2.5633e+07ns	IDLE	178	15
+7.48568e+08ns	+36000ns	CCA_BUSY	178	15
+7.48604e+08ns	+0ns	CCA_BUSY	178	15
+7.48604e+08ns	+728000ns	RX	178	15
+7.49332e+08ns	+667918ns	IDLE	178	15
+7.5e+08ns	+250000ns	SWITCHING	178	15
TimeStart 	 Duration 	 state 	 channel 	 cw 
+7.5025e+08ns	+4.975e+07ns	IDLE	172	16
+8e+08ns	+250000ns	SWITCHING	172	16
TimeStart 	 Duration 	 state 	 channel 	 cw 
+8.0025e+08ns	+3.808e+06ns	IDLE	178	17
+8.04058e+08ns	+768000ns	TX	178	17
+8.04826e+08ns	+33ns	CCA_BUSY	178	17
+8.04826e+08ns	+75016ns	IDLE	178	17
+8.04901e+08ns	+36000ns	CCA_BUSY	178	17
+8.04937e+08ns	+0ns	CCA_BUSY	178	17
+8.04937e+08ns	+728000ns	RX	178	17
+8.05665e+08ns	+4.4335e+07ns	IDLE	178	17
+8.5e+08ns	+250000ns	SWITCHING	178	17
TimeStart 	 Duration 	 state 	 channel 	 cw 
+8.5025e+08ns	+4.975e+07ns	IDLE	172	18
+9e+08ns	+250000ns	SWITCHING	172	18
TimeStart 	 Duration 	 state 	 channel 	 cw 
+9.0025e+08ns	+3.808e+06ns	IDLE	178	19
+9.04058e+08ns	+768000ns	TX	178	19
+9.04826e+08ns	+33ns	CCA_BUSY	178	19
+9.04826e+08ns	+2.01202e+06ns	IDLE	178	19
+9.06838e+08ns	+36000ns	CCA_BUSY	178	19
+9.06874e+08ns	+0ns	CCA_BUSY	178	19
+9.06874e+08ns	+728000ns	RX	178	19
+9.07602e+08ns	+4.09203e+06ns	IDLE	178	19
+9.11694e+08ns	+36000ns	CCA_BUSY	178	19
+9.1173e+08ns	+0ns	CCA_BUSY	178	19
+9.1173e+08ns	+728000ns	RX	178	19
+9.12458e+08ns	+3.75419e+07ns	IDLE	178	19
+9.5e+08ns	+250000ns	SWITCHING	178	19
TimeStart 	 Duration 	 state 	 channel 	 cw 
+9.5025e+08ns	+4.975e+07ns	IDLE	172	20
+1e+09ns	+250000ns	SWITCHING	172	20
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.00025e+09ns	+3.81203e+06ns	IDLE	178	21
+1.00406e+09ns	+764000ns	CCA_BUSY	178	21
+1.00483e+09ns	+1.787e+06ns	IDLE	178	21
+1.00661e+09ns	+768000ns	TX	178	21
+1.00738e+09ns	+4.6382e+06ns	IDLE	178	21
+1.01202e+09ns	+36000ns	CCA_BUSY	178	21
+1.01206e+09ns	+0ns	CCA_BUSY	178	21
+1.01206e+09ns	+728000ns	RX	178	21
+1.01278e+09ns	+1.626e+07ns	IDLE	178	21
+1.02904e+09ns	+36000ns	CCA_BUSY	178	21
+1.02908e+09ns	+0ns	CCA_BUSY	178	21
+1.02908e+09ns	+728000ns	RX	178	21
+1.02981e+09ns	+1.5688e+07ns	IDLE	178	21
+1.0455e+09ns	+36000ns	CCA_BUSY	178	21
+1.04553e+09ns	+0ns	CCA_BUSY	178	21
+1.04553e+09ns	+728000ns	RX	178	21
+1.04626e+09ns	+3.7407e+06ns	IDLE	178	21
+1.05e+09ns	+250000ns	SWITCHING	178	21
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.05025e+09ns	+4.975e+07ns	IDLE	172	22
+1.1e+09ns	+250000ns	SWITCHING	172	22
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.10025e+09ns	+3.81208e+06ns	IDLE	178	23
+1.10406e+09ns	+36000ns	CCA_BUSY	178	23
+1.1041e+09ns	+0ns	CCA_BUSY	178	23
+1.1041e+09ns	+728000ns	RX	178	23
+1.10483e+09ns	+1.7469e+07ns	IDLE	178	23
+1.1223e+09ns	+36000ns	CCA_BUSY	178	23
+1.12233e+09ns	+0ns	CCA_BUSY	178	23
+1.12233e+09ns	+728000ns	RX	178	23
+1.12306e+09ns	+4.079e+06ns	IDLE	178	23
+1.12714e+09ns	+36000ns	CCA_BUSY	178	23
+1.12717e+09ns	+0ns	CCA_BUSY	178	23
+1.12717e+09ns	+728000ns	RX	178	23
+1.1279e+09ns	+127066ns	IDLE	178	23
+1.12803e+09ns	+36000ns	CCA_BUSY	178	23
+1.12807e+09ns	+0ns	CCA_BUSY	178	23
+1.12807e+09ns	+728000ns	RX	178	23
+1.12879e+09ns	+1.0111e+07ns	IDLE	178	23
+1.1389e+09ns	+36000ns	CCA_BUSY	178	23
+1.13894e+09ns	+0ns	CCA_BUSY	178	23
+1.13894e+09ns	+728000ns	RX	178	23
+1.13967e+09ns	+1.03318e+07ns	IDLE	178	23
+1.15e+09ns	+250000ns	SWITCHING	178	23
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.15025e+09ns	+4.975e+07ns	IDLE	172	24
+1.2e+09ns	+250000ns	SWITCHING	172	24
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.20025e+09ns	+3.808e+06ns	IDLE	178	25
+1.20406e+09ns	+768000ns	TX	178	25
+1.20483e+09ns	+16ns	CCA_BUSY	178	25
+1.20483e+09ns	+3.54091e+07ns	IDLE	178	25
+1.24024e+09ns	+36000ns	CCA_BUSY	178	25
+1.24027e+09ns	+0ns	CCA_BUSY	178	25
+1.24027e+09ns	+728000ns	RX	178	25
+1.241e+09ns	+9.00092e+06ns	IDLE	178	25
+1.25e+09ns	+250000ns	SWITCHING	178	25
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.25025e+09ns	+4.975e+07ns	IDLE	172	26
+1.3e+09ns	+250000ns	SWITCHING	172	26
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.30025e+09ns	+3.808e+06ns	IDLE	178	27
+1.30406e+09ns	+768000ns	TX	178	27
+1.30483e+09ns	+33ns	CCA_BUSY	178	27
+1.30483e+09ns	+4.69002e+06ns	IDLE	178	27
+1.30952e+09ns	+36000ns	CCA_BUSY	178	27
+1.30955e+09ns	+0ns	CCA_BUSY	178	27
+1.30955e+09ns	+728000ns	RX	178	27
+1.31028e+09ns	+3.972e+07ns	IDLE	178	27
+1.35e+09ns	+250000ns	SWITCHING	178	27
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.35025e+09ns	+4.975e+07ns	IDLE	172	28
+1.4e+09ns	+250000ns	SWITCHING	172	28
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.40025e+09ns	+3.808e+06ns	IDLE	178	29
